,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster_agg,cluster_knn,id,names
38,0.599,0.622,-4.313,0.264,0.124,0.00276,0.158,0.199,91.607,199827,0,2,24b6djSbUFQtXAdyb3FMbr,PTSD
39,0.799,0.649,-6.546,0.306,0.0746,1.33e-05,0.517,0.566,142.004,108160,0,0,3DWjFSDEQ9IWz1mj449fB7,Get Back
40,0.854,0.674,-6.23,0.184,0.0517,8.53e-05,0.509,0.848,99.022,215467,0,3,7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna)
41,0.935,0.833,-7.493,0.0438,0.279,1.61e-05,0.0792,0.967,108.914,200683,0,3,6z3HAUZpAyJ0ctsbAwAiw3,Pop Muzik
42,0.729,0.0114,-19.282,0.0399,0.995,0.924,0.112,0.776,71.628,126042,0,1,3kJtQ79tvaCFkCiXtpPfBw,Pop Goes the Weasel
43,0.745,0.958,-2.025,0.0432,0.116,0.594,0.169,0.71,128.022,183791,0,3,0vm6SSArnVomY1AH2ja8Ql,Popcorn - Radio Edit
44,0.854,0.674,-6.23,0.184,0.0517,8.53e-05,0.509,0.848,99.022,215467,0,3,1L8ObNUDCh7k6GwDIbfx9Q,Popular (with Playboi Carti & Madonna)
45,0.71,0.486,-10.754,0.0437,0.348,0.649,0.134,0.171,123.027,194107,0,2,329PAO2XpurUBEWszXKG5K,Miss You
46,0.711,0.228,-12.85,0.172,0.776,0.0,0.122,0.548,88.714,224387,0,1,0nV8ffGvur4zBHlbOlsZWM,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003"
47,0.49,0.618,-5.655,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,0,2,1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch)
48,0.625,0.951,-4.866,0.0393,0.0718,0.585,0.164,0.376,130.001,147692,0,2,4EmH2iRucAgCOnhuJRotUi,Drifting
49,0.839,0.643,-6.015,0.329,0.0348,3.76e-05,0.125,0.45,129.979,155573,0,3,5f0TOjFP3c96TFHzKnx5ri,POPOPOP
50,0.635,0.961,-2.284,0.285,0.0222,0.0,0.314,0.37,143.858,159583,0,0,2ShUGbIKvkPPcGzpcgl23G,Poppstars
51,0.755,0.481,-9.412,0.0452,0.355,0.0,0.0947,0.874,132.69,140000,0,3,6FkYU0hPFBXGfFbYV9QXl2,Papa Will Ins Popoloch
52,0.782,0.594,-5.787,0.252,0.118,0.0,0.176,0.272,95.031,136910,0,3,5s3ueOIxYDscTP1S14cQGy,Popstar
53,0.664,0.445,-5.986,0.17,0.182,0.0,0.165,0.307,80.279,194873,0,2,4ZJsTa4JCn9s0GbO4Y0zD1,Im Popcorntopf ist der Teufel los
54,0.694,0.704,-6.101,0.13,0.015,2.39e-05,0.0931,0.377,122.984,167822,0,2,2FIa0Zmilui8GpApF3vF1a,Poppin Bottles
55,0.588,0.484,-7.058,0.153,0.0219,0.0,0.156,0.337,161.178,109430,0,0,26Fx8UbsC0BV4J1CdtuLAy,Pop
56,0.597,0.762,-3.707,0.0449,0.00132,0.0,0.121,0.598,92.972,157742,0,3,7uAWPqXthO4pO2Exc8V90t,Bad Guy
57,0.839,0.851,-6.713,0.138,0.0374,0.0,0.109,0.926,119.977,238427,0,3,2N3JVnB85hqJl6SzTlZOxv,Pop
58,0.923,0.604,-6.671,0.245,0.017,0.0,0.272,0.826,145.062,139741,0,3,1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN
59,0.741,0.599,-6.672,0.419,0.00961,0.0,0.785,0.276,139.891,227474,0,0,1jDbQz6tr52WgScCTXMnaN,POP
60,0.596,0.965,-5.552,0.227,0.0343,4.48e-05,0.0798,0.338,154.976,196645,0,0,2WEAjQeoTRm7T3leqV2YfQ,Popcorn
61,0.954,0.479,-7.843,0.352,0.0139,2.1e-06,0.0677,0.358,103.925,122308,0,3,1ihBMg1KvVP85LHh9foaf4,POP
62,0.622,0.655,-8.385,0.0388,0.0755,0.0,0.0992,0.286,102.984,177162,0,2,1UWEafiPTYY6Ym2GKxTCGg,POP
63,0.847,0.559,-5.252,0.0498,0.000401,0.688,0.0913,0.476,108.004,92328,0,3,0umAduzH6cuIMorxfeGtUN,Pop like this Pt. 2 - Sped Up
64,0.765,0.737,-3.102,0.162,0.283,0.22,0.22,0.823,189.81,186429,0,0,45GrdwGqP4qIV4XkUePopS,POP
65,0.732,0.992,-5.377,0.0992,0.213,0.92,0.0895,0.716,159.976,235875,0,2,0iZYdGkLpdEvM3igcyVKFj,pop a pill
66,0.816,0.722,-4.402,0.343,0.0746,2.18e-06,0.357,0.906,103.937,152384,0,3,4JYFFgmy2ZZWvhCh8aZbjP,Pop
67,0.494,0.647,-14.713,0.036,0.00065,0.0374,0.161,0.846,147.739,152753,0,0,2hiVTcHbcpPgOPOvoAJ5qB,Popstar
68,0.682,0.532,-7.945,0.291,0.172,1.05e-06,0.0699,0.56,77.989,155385,0,3,3D3mz2uMaOmxjlLp9yjW1h,POP
69,0.719,0.788,-6.428,0.0284,0.023,0.0,0.0918,0.751,133.58,151867,0,3,4FXSEdmbbeGmPIQltH27C8,Pop
70,0.619,0.914,-5.651,0.26,0.0675,0.0,0.11,0.395,116.161,233793,0,2,3ZdwCZtXWJjMqHlSFgYfIg,Prequel
71,0.741,0.599,-6.672,0.419,0.00961,0.0,0.785,0.276,139.891,227474,0,0,61N12G2IDag927XDCmMDr8,POP
72,0.813,0.551,-6.698,0.286,0.0314,0.0,0.108,0.68,77.509,173806,0,3,6eLY5NX9HkvAtrvRrPOW0F,Poppin
73,0.588,0.484,-7.058,0.153,0.0219,0.0,0.156,0.337,161.178,109430,0,0,5KzobobnQb7UZXKOUT249o,Pop
74,0.613,0.794,-4.86,0.0314,0.0142,0.0,0.0565,0.652,139.983,219200,0,3,5FqzgZGAo9XK79jA8nkm0q,"Poppe, Kaate, Danze - Radio Version"
75,0.662,0.736,-8.819,0.244,0.183,0.801,0.128,0.183,150.07,104168,0,2,5MbvspF065NSXrVuecXsjs,POP
76,0.891,0.67,-7.256,0.135,0.203,0.00273,0.11,0.938,128.046,184222,0,3,0widrZ6KVNuIPhbM1rWPDR,Pop Star
77,0.895,0.721,-6.296,0.0423,0.0908,2.46e-06,0.105,0.836,138.006,149710,0,3,51VLqRIxEjfT6guWSxEElY,Pop
78,0.622,0.0904,-24.54,0.0583,0.993,0.897,0.0886,0.655,120.325,89613,0,1,5rpkYHBqreIuzSVrYWcNa1,Poppy Puppy
79,0.658,0.76,-6.509,0.0322,0.0388,0.0,0.127,0.534,121.973,197336,0,3,6QJbjDtSrVgDijIQ34l6Dx,Pop
80,0.671,0.99,-4.809,0.0463,0.0124,0.825,0.0981,0.565,128.009,141680,0,2,5iKLlfPhEzinVn67cXfDZM,Popcorn - Rework
81,0.954,0.479,-7.843,0.352,0.0139,2.1e-06,0.0677,0.358,103.925,122308,0,3,3KCsVnoete7IGXDXCj0A4w,POP
82,0.805,0.798,-9.361,0.0476,0.0271,0.895,0.105,0.378,111.996,484546,0,2,5zV3BRC06QQ4Y5kq9go3Xr,PoP
83,0.839,0.851,-6.713,0.138,0.0374,0.0,0.109,0.926,119.977,238427,0,3,0yRZqco2Jy8z6KAYlI6qcZ,Pop
84,0.635,0.643,-8.492,0.155,0.208,0.000154,0.453,0.642,159.952,182363,0,0,1IkEE9PQVeQ563gWfJ4moA,POP
85,0.808,0.688,-8.964,0.0493,0.115,0.0251,0.114,0.377,120.039,138036,0,3,7itGrDB969S4fJc4GDodiA,POPSTAR
86,0.856,0.834,-7.781,0.145,0.0302,0.0,0.21,0.949,120.015,237587,0,3,4rdIpqVK9rGnrUZJEEACjU,Pop
87,0.823,0.946,-7.685,0.108,0.066,0.148,0.0744,0.851,127.995,176250,0,3,4J5KCUFanJFj0RSniGSzGh,Pop
88,0.528,0.846,-4.217,0.155,0.0294,5.66e-05,0.588,0.283,110.092,173507,0,0,3HGnsaw8bbv1a7bIFk5NDY,Pop
89,0.744,0.703,-8.111,0.048,0.0195,0.00449,0.141,0.819,125.023,172197,0,3,3fvsxmytTns1ApIWBqfANZ,Temptation (feat. Poppy Baskcomb)
90,0.842,0.0389,-22.093,0.173,0.943,0.839,0.0642,0.755,100.008,135233,0,1,3SZTlj5DdhfkQzz8TDfMH8,Pop
91,0.844,0.677,-6.216,0.158,0.0406,8.32e-05,0.407,0.841,98.995,215467,0,3,67gUqq3wVAztSquOpNZ4Xs,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
92,0.849,0.838,-4.01,0.0559,0.00278,4.66e-06,0.21,0.602,128.005,194158,0,3,2FzMEX0nP9tFd6phID2tm8,POP
93,0.631,0.315,-10.606,0.0459,0.809,0.0,0.151,0.335,144.87,138439,0,1,4wW79p4e4hjTpHVQX3Znoy,Pop
94,0.551,0.655,-7.329,0.336,0.0599,0.0,0.0941,0.619,182.71,96613,0,0,3ZXSORvoHYaQX5TgUdkqML,Popcorn
95,0.6,0.586,-11.863,0.144,0.0575,0.0,0.334,0.759,83.899,210814,0,3,2RIcNuro82DH23o2EEdBIo,Pop
96,0.707,0.774,-4.28,0.0484,0.405,0.0,0.613,0.506,140.012,234955,0,0,254AnlO6Fr8ge2hH0nywp7,Alles was ich hab
97,0.422,0.656,-7.497,0.163,0.000565,0.901,0.363,0.134,125.892,140952,0,2,22HWNjVCg0kvlRcqA2AVKP,POP
98,0.745,0.887,-5.604,0.0568,0.0295,0.018,0.103,0.936,106.047,186813,0,3,1GyQrKyK660LcFW1iPnneq,Poppa Joe
99,0.719,0.669,-6.681,0.111,0.0013,2.32e-06,0.749,0.151,150.16,101906,0,0,42oZ6VPxsgLLGfYb1TTEYJ,Pop
100,0.646,0.876,-6.444,0.197,0.00267,0.0,0.171,0.293,122.958,185000,0,2,0NFBQhVLlzeY8ry9jUgHy2,POP
101,0.726,0.597,-8.441,0.278,0.371,2.09e-05,0.105,0.528,80.078,173915,0,3,2nv61bSKMTqOSFH7e0N8jL,Popeye
102,0.406,0.312,-13.478,0.0697,0.31,0.00382,0.111,0.0595,143.831,199216,0,2,77lVSrDVVjO7jt2P09UItx,POP
103,0.546,0.897,-3.067,0.162,0.026,0.0,0.14,0.642,173.187,191415,0,0,1jVXXu8W4iny6MRkxKxxPI,Voices In My Head
104,0.754,0.516,-8.619,0.206,0.462,3.9e-06,0.141,0.607,103.92,168812,0,3,5hl7ya200utFGWtsY8HApb,Pop
105,0.779,0.532,-9.112,0.178,0.124,0.0,0.128,0.324,161.045,191530,0,0,1gCBVvdsK5TsSUjXg3hGm2,Poppin Smoke
106,0.631,0.809,-3.992,0.0392,0.0271,0.0,0.156,0.396,114.979,195130,0,2,5TitlfXWCr7vvMkHEayJKp,Pop
107,0.394,0.784,-5.902,0.132,0.0135,0.0,0.216,0.341,161.95,203948,0,0,1SlxMFZexm81T0tUK6mwni,Watch The World Burn
108,0.695,0.893,-5.288,0.0511,7.38e-05,2.01e-05,0.0864,0.821,132.015,230611,0,3,6GrWJnpm3BmlDLnVRbtljY,POP
109,0.361,0.945,-3.481,0.0801,0.00127,0.0,0.185,0.782,131.998,142045,0,0,334409Qvmqf5tBqbA7PtxQ,Trigger Warning
110,0.39,0.659,-7.0,0.0286,0.196,0.16,0.338,0.552,82.007,207920,0,2,0xkQx0rU3xSz7ZMPNUFWaW,Pop
111,0.829,0.57,-9.986,0.163,0.322,0.0,0.0985,0.685,99.984,146062,0,3,7ayajktOlSTcXRPFJA6rlZ,POP
112,0.895,0.701,-7.174,0.211,0.0372,0.411,0.194,0.383,99.985,146366,0,3,5dlntEVwMuRUs3fIynheZP,POP SMOKE
113,0.81,0.633,-8.33,0.362,0.0886,0.0,0.119,0.531,140.225,123429,0,0,5yQOP0mBQhjphqREPR8dc5,Pop
114,0.807,0.432,-9.427,0.167,0.115,0.0,0.131,0.17,159.999,205500,0,0,2Jd0G60QHTAGk1ikCSIjK7,Pop
115,0.806,0.691,-5.392,0.22,0.184,0.0894,0.109,0.634,131.71,187273,0,3,4Fv2ZAQ0U1lsEGjhghcdb0,Poporopa
116,0.8,0.721,-6.762,0.347,0.0723,0.0,0.183,0.508,140.967,164573,0,0,1V0ITHND2m9yP1Ie3rItNC,POP
117,0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,0,3,12zpU2S4lMdrK9dvsOoL1m,I Love It (feat. Charli XCX)
118,0.68,0.846,-6.067,0.307,0.306,0.000109,0.35,0.627,141.879,190843,0,0,3wO7ORmA4iytgfPdROLUK3,Pop
119,0.601,0.485,-11.234,0.0369,0.436,5.86e-05,0.782,0.723,173.817,201413,0,0,1pHyPp8oZuFyiScOcEMdT2,Pop-Song
120,0.669,0.797,-3.757,0.31,0.0228,0.0,0.33,0.542,173.026,194220,0,0,7yt1YL7KdoPK0NMHZE9JLf,Pop
121,0.724,0.728,-7.938,0.0796,0.228,0.101,0.282,0.175,122.984,256573,0,2,7f4azWcTVEDHZ7DSc5eh5a,POP POP POP
122,0.89,0.579,-15.09,0.107,0.0872,0.0,0.0601,0.573,124.012,256807,0,3,5PzrNf5OpWu1U468ShB2kY,Pop
123,0.659,0.788,-5.746,0.0492,0.0158,0.0,0.173,0.596,147.823,150000,0,0,5vI7UrbiOQ0OU86jSuUSIL,Popstars
124,0.659,0.598,-11.864,0.113,0.245,0.0,0.578,0.77,94.015,164687,0,3,7yNhAbSFV9n3rxmnCWznEg,POP
125,0.687,0.723,-8.235,0.0335,0.152,0.0,0.0864,0.345,144.004,166667,0,0,71bpKwCnAdXDBoPDi6ueYH,Pop
126,0.578,0.214,-25.743,0.0373,0.993,0.878,0.169,0.418,77.999,58250,0,1,5LkumJOYiRrBY9O05aTN9C,Pop Goes the Weasel - Cozy Edition
127,0.672,0.922,-3.983,0.0742,0.0114,0.0,0.171,0.536,120.005,178050,0,3,4Yn1y69YDzZkOaKZTXZPBX,Pop
128,0.563,0.672,-7.226,0.0765,0.359,0.0,0.0972,0.284,99.772,156000,0,2,58T4yPLn4NjBYXfRxeweyM,Woo Baby (feat. Chris Brown)
129,0.804,0.505,-9.661,0.0468,0.0347,0.025,0.179,0.904,115.03,165035,0,3,7KDnnWuXEs6z9E23rZR4PZ,Pop
130,0.54,0.936,-5.372,0.339,0.108,0.0,0.337,0.512,199.778,208329,0,0,5wN0lvpZL0UCVQ0iaUbRV2,Populär
131,0.574,0.336,-20.79,0.0866,0.983,0.963,0.109,0.147,111.215,156514,0,1,037HRmQRKWmLw7SJT5ZUGL,pop
132,0.765,0.671,-5.249,0.278,0.344,0.0,0.0506,0.798,84.5,249867,0,3,63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster
133,0.801,0.71,-8.462,0.0387,0.00057,0.897,0.162,0.582,135.024,214504,0,2,3F9pgU9AiTCFM0ipFdzCRg,Pop
134,0.591,0.92,-4.131,0.0769,0.000933,0.0,0.129,0.415,92.015,190231,0,2,19CCQeIOxxUDcpFw539zd7,All My Life
135,0.85,0.78,-5.137,0.0432,0.0787,0.0,0.122,0.693,120.032,210318,0,3,5ZMT6PlzsSdJznOZHfEtdY,POP
136,0.713,0.462,-10.027,0.123,0.192,2.16e-06,0.105,0.0594,133.053,212947,0,2,5mPSyjLatqB00IkPqRlbTE,Pop Style
137,0.749,0.616,-9.849,0.162,0.00115,2.21e-06,0.159,0.574,90.004,154286,0,3,5t0D1BvTybtk332AG37C8Y,Pop
138,0.684,0.683,-7.05,0.11,0.658,0.0,0.163,0.744,133.978,191667,0,3,0sMCcICKRGJ8Td75nZloeU,POPO
139,0.513,0.902,-9.85,0.936,0.723,0.0,0.861,0.237,141.5,153373,0,1,4rg8Wgbj9ExRj9r06PKMiY,Pop
140,0.581,0.992,-1.564,0.157,0.0311,0.0,0.326,0.46,120.041,163515,0,0,1q6nPMog4GJEED3HIQh3Oz,Pop
141,0.753,0.711,-11.747,0.128,0.229,0.000239,0.134,0.138,119.987,188064,0,2,7KXe9mk101WgwKmhHer70O,Popular
142,0.832,0.779,-6.385,0.203,0.338,0.0,0.121,0.503,116.959,154197,0,3,40J1urbVnIAOh3qLUq8agx,POP
143,0.862,0.689,-5.68,0.323,0.118,0.0,0.0729,0.364,83.964,223787,0,3,2VIMXmWUIqhMqg6h5FOFPG,Pop Out Again (feat. Lil Baby & Gunna)
144,0.879,0.633,-5.309,0.282,0.0644,2.38e-06,0.128,0.701,89.063,252667,0,3,7v8EnZ9zbk5JKsOWzY0jw1,Pop
145,0.464,0.558,-6.973,0.289,0.00275,0.000275,0.223,0.346,158.881,195197,0,0,0VOMBffX1llDu37yQUt3u3,Pop Out (feat. Nardo Wick)
146,0.792,0.685,-6.111,0.15,0.145,0.00016,0.216,0.503,77.521,103742,0,3,1sWr0gC6YEz6TxztGbfJms,Pop
147,0.598,0.934,-3.75,0.112,0.0061,1.48e-06,0.326,0.319,92.444,196754,0,2,2eKoPnGnuHqIpfph45z44W,Ronald
148,0.233,0.859,-5.374,0.115,0.0217,0.456,0.118,0.145,171.621,212093,0,2,5fodHfh8rLkRA5fomFrhTq,Pop
149,0.816,1.0,-5.739,0.0644,0.03,0.852,0.36,0.542,137.974,214867,0,2,1iT9oqeZGYOnspkV4AiIoJ,Popcorn - Radio Version
150,0.827,0.69,-6.961,0.344,0.0336,0.0,0.258,0.479,129.877,184680,0,0,1ZU19OTgd4Xs5QaYJ78bQF,POPSMOKE DANCE
151,0.39,0.804,-10.343,0.0395,0.0138,0.0,0.328,0.474,103.033,204627,0,2,7cM4uRzkS0gP0k3WjErRgA,Pop
152,0.765,0.811,-6.586,0.0482,0.00422,0.0,0.0699,0.766,127.925,160314,0,3,6MRUQNjaUud1TiFBRV8HNq,Tell Me What You Want
153,0.805,0.796,-9.362,0.0476,0.027,0.895,0.105,0.371,111.996,484546,0,2,0JQhAr0eF06ZPFOFQZML9I,PoP
154,0.543,0.912,-3.681,0.0422,0.00013,9.23e-06,0.333,0.549,91.033,218521,0,2,1USeS8c7cpR8dmb07IUAnZ,ZOMBIFIED
155,0.663,0.81,-5.345,0.107,0.0377,0.0,0.12,0.649,159.988,185440,0,0,7lMMU46D1is2fvc5CZhhAM,Poppin' Love
156,0.833,0.652,-6.194,0.308,0.0486,0.000134,0.145,0.413,130.002,155632,0,3,18HNGxDOcshRU2Hdu8tMOM,POPOPOP
157,0.891,0.67,-7.256,0.135,0.203,0.00273,0.11,0.938,128.046,184222,0,3,3cIjeDpRUFiKU5tDXEY7Aw,Pop Star
158,0.697,0.401,-10.216,0.0543,0.43,0.0109,0.316,0.478,108.996,185224,0,3,6SZwj6cjc8JQbkrr8cbIUn,Oh Klahoma
159,0.883,0.802,-3.234,0.313,0.0209,0.0,0.198,0.715,109.914,151944,0,3,3KcSwX6pyUnfJ0YZlcJE7d,Pop Boy (feat. Aitch)
160,0.94,0.727,-9.982,0.0358,0.124,0.00021,0.0808,0.969,110.796,296467,0,3,43U1bCDTZAhhY1Y8mCkTG4,Pop Muzik (12 Inch Version)
161,0.727,0.299,-8.56,0.0813,0.125,0.534,0.102,0.165,69.306,103043,0,2,02MFno0s2lpD3rycI7cllL,P_Optimist
162,0.591,0.981,-4.118,0.0725,0.0343,0.295,0.0999,0.636,160.003,157500,0,0,5P8mvvwz8spjOFxKITELti,POPTHATRUNK
163,0.737,0.847,-5.51,0.158,0.0724,0.0,0.241,0.393,101.943,228823,0,2,46L3dPAMmGU254kGxrbXEa,NO FEAR
164,0.444,0.884,-6.104,0.119,0.00751,8.94e-05,0.116,0.296,94.82,220587,0,2,48sJGpBLqQTs0sZ2ImHJof,Popular
165,0.726,0.867,-5.098,0.511,0.298,5.33e-06,0.386,0.704,150.287,141827,0,0,2nSsra44ytBc2LxO85pyy5,Strobo Pop XXL
166,0.656,0.48,-7.156,0.0552,0.318,0.0,0.0917,0.402,132.043,181320,0,2,6kxkMrPqppgT3TQjOyhAYk,Popcorn
