danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S,190476,For The Night (feat. Lil Baby & DaBaby)
0.921,0.447,-5.216,0.0644,0.594,0.0,0.0747,0.967,119.935,0cpy0iyvkefYLKeq602Ucq,147147,Der Popo-Tango (Argentinien)
0.776,0.985,-3.549,0.0347,0.0901,0.854,0.337,0.96,130.004,0jQ4Nb9ylfUheLP9EOpOFk,192373,Popcorn
0.803,0.565,-4.711,0.235,0.0558,0.0,0.141,0.474,163.085,1sbEeUY8KsdvgiQi26JBFz,200221,POPSTAR (feat. Drake)
0.772,0.423,-8.452,0.0562,0.00905,0.516,0.14,0.281,157.156,4bt3S3Tqh5pvs33y9RlF8J,122187,Pop like this Pt. 2 - Slowed
0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,1tkg4EHVoqnhR6iFEXb60y,160000,What You Know Bout Love
0.905,0.647,-5.065,0.107,0.0187,0.0,0.282,0.367,130.97,2r6OAV3WsYtXuXjvJ1lIDi,190534,Hello (feat. A Boogie Wit da Hoodie)
0.749,0.964,-5.571,0.0888,0.022,0.721,0.215,0.164,139.933,7e86UGGXwQXn5lXhxo1Blf,170576,Popcorn
0.599,0.622,-4.313,0.264,0.124,0.00276,0.158,0.199,91.607,24b6djSbUFQtXAdyb3FMbr,199827,PTSD
0.799,0.649,-6.546,0.306,0.0746,1.33e-05,0.517,0.566,142.004,3DWjFSDEQ9IWz1mj449fB7,108160,Get Back
0.854,0.674,-6.23,0.184,0.0517,8.53e-05,0.509,0.848,99.022,7GUhiAHLoVy1V8ucQuZ3CB,215467,Popular (with Playboi Carti & Madonna)
0.745,0.958,-2.025,0.0432,0.116,0.594,0.169,0.71,128.022,0vm6SSArnVomY1AH2ja8Ql,183791,Popcorn - Radio Edit
0.729,0.0114,-19.282,0.0399,0.995,0.924,0.112,0.776,71.628,3kJtQ79tvaCFkCiXtpPfBw,126042,Pop Goes the Weasel
0.935,0.833,-7.493,0.0438,0.279,1.61e-05,0.0792,0.967,108.914,6z3HAUZpAyJ0ctsbAwAiw3,200683,Pop Muzik
0.854,0.674,-6.23,0.184,0.0517,8.53e-05,0.509,0.848,99.022,1L8ObNUDCh7k6GwDIbfx9Q,215467,Popular (with Playboi Carti & Madonna)
0.71,0.486,-10.754,0.0437,0.348,0.649,0.134,0.171,123.027,329PAO2XpurUBEWszXKG5K,194107,Miss You
0.711,0.228,-12.85,0.172,0.776,0.0,0.122,0.548,88.714,0nV8ffGvur4zBHlbOlsZWM,224387,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003"
0.49,0.618,-5.655,0.104,0.0221,3.77e-06,0.259,0.286,99.7,1H7KnK26kc1YyellpbINEn,201600,The Woo (feat. 50 Cent & Roddy Ricch)
0.625,0.951,-4.866,0.0393,0.0718,0.585,0.164,0.376,130.001,4EmH2iRucAgCOnhuJRotUi,147692,Drifting
0.839,0.643,-6.015,0.329,0.0348,3.76e-05,0.125,0.45,129.979,5f0TOjFP3c96TFHzKnx5ri,155573,POPOPOP
0.635,0.961,-2.284,0.285,0.0222,0.0,0.314,0.37,143.858,2ShUGbIKvkPPcGzpcgl23G,159583,Poppstars
0.755,0.481,-9.412,0.0452,0.355,0.0,0.0947,0.874,132.69,6FkYU0hPFBXGfFbYV9QXl2,140000,Papa Will Ins Popoloch
0.782,0.594,-5.787,0.252,0.118,0.0,0.176,0.272,95.031,5s3ueOIxYDscTP1S14cQGy,136910,Popstar
0.664,0.445,-5.986,0.17,0.182,0.0,0.165,0.307,80.279,4ZJsTa4JCn9s0GbO4Y0zD1,194873,Im Popcorntopf ist der Teufel los
0.694,0.704,-6.101,0.13,0.015,2.39e-05,0.0931,0.377,122.984,2FIa0Zmilui8GpApF3vF1a,167822,Poppin Bottles
0.588,0.484,-7.058,0.153,0.0219,0.0,0.156,0.337,161.178,26Fx8UbsC0BV4J1CdtuLAy,109430,Pop
0.597,0.762,-3.707,0.0449,0.00132,0.0,0.121,0.598,92.972,7uAWPqXthO4pO2Exc8V90t,157742,Bad Guy
0.839,0.851,-6.713,0.138,0.0374,0.0,0.109,0.926,119.977,2N3JVnB85hqJl6SzTlZOxv,238427,Pop
0.596,0.965,-5.552,0.227,0.0343,4.48e-05,0.0798,0.338,154.976,2WEAjQeoTRm7T3leqV2YfQ,196645,Popcorn
0.741,0.599,-6.672,0.419,0.00961,0.0,0.785,0.276,139.891,1jDbQz6tr52WgScCTXMnaN,227474,POP
0.923,0.604,-6.671,0.245,0.017,0.0,0.272,0.826,145.062,1jaTQ3nqY3oAAYyCTbIvnM,139741,WHATS POPPIN
